Programa;Área;Linha de Pesquisa;Usuário;Segmento;Domínio;Subdomínio;Classificação;Score;Status;Tipo Classificação;Feedback;Data de Processamento
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletromagnetismo e Dispositivos Eletromagnéticos;Eduardo Augusto Bezerra;Aerostructures (AST);18.Smart Materials and Structures;18.1;ACARE 1: Constitutive laws (metallic and composite materials);0.267;Rejeitado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletromagnetismo e Dispositivos Eletromagnéticos;Adroaldo RAIZER;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.19;ACARE 2: Conformal antennas;0.244;Aprovado;Original;;14/07/2025 09:16
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletromagnetismo e Dispositivos Eletromagnéticos;Eduardo Augusto Bezerra;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.7;ACARE 3: Metallic sulphides and fluorides;0.223;Rejeitado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletromagnetismo e Dispositivos Eletromagnéticos;Eduardo Augusto Bezerra;Propulsion Systems;2.Electric Space Propulsion;2.3;NASA 1: Electromagnetic;0.292;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletromagnetismo e Dispositivos Eletromagnéticos;Adroaldo RAIZER;Flight Computing & Avionics;7.Avionics Tools, Models, and Analysis;7.4;NASA 2: Electromagnetic Environment Effects;0.282;Aprovado;Original;;14/07/2025 09:16
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletromagnetismo e Dispositivos Eletromagnéticos;Eduardo Augusto Bezerra;Materials, Structures, Mechanical Systems & Manufacturing;52.Mechanical Systems;52.2;NASA 3: Electro-Mechanical, Mechanical, and Micromechanisms;0.247;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletromagnetismo e Dispositivos Eletromagnéticos;Adroaldo RAIZER;;IDV.3;IDV.3;ACARE Manual 1: Environmental and EM Compliance;1.0;Aprovado;Manual;;14/07/2025 09:16
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletrônica de Potência e Acionamento Elétrico;Eduardo Augusto Bezerra;Innovative Concepts & Scenarios (ICS);115.Scenarios analysis;115.2;ACARE 1: Elaboration of basic trends (societal, cultural);0.344;Rejeitado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletrônica de Potência e Acionamento Elétrico;Eduardo Augusto Bezerra;Aerostructures (AST);21.Noise Reduction;21.2;ACARE 2: Techniques in relation with actuators and sensors such as piezoelectric or piezoceramic materials, electrostrictive ceramics... and their mechanical modellisation.;0.308;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletrônica de Potência e Acionamento Elétrico;Eduardo Augusto Bezerra;Integrated Design & Validation (IDV);92.Development of operational research methods & tools;92.2;ACARE 3: Development of OR methods;0.287;Rejeitado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletrônica de Potência e Acionamento Elétrico;Eduardo Augusto Bezerra;Propulsion Systems;1.Chemical Propulsion;1.1;NASA 1: Integrated Systems and Ancillary Technologies;0.256;Rejeitado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletrônica de Potência e Acionamento Elétrico;Eduardo Augusto Bezerra;Propulsion Systems;3.Aero Propulsion;3.1;NASA 2: Integrated Systems and Ancillary Technologies;0.237;Rejeitado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Eletrônica de Potência e Acionamento Elétrico;Eduardo Augusto Bezerra;Propulsion Systems;2.Electric Space Propulsion;2.1;NASA 3: Integrated Systems and Ancillary Technologies;0.236;Rejeitado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Sistemas de Energia Elétrica;Eduardo Augusto Bezerra;Innovative Concepts & Scenarios (ICS);115.Scenarios analysis;115.2;ACARE 1: Elaboration of basic trends (societal, cultural);0.293;Rejeitado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Sistemas de Energia Elétrica;Eduardo Augusto Bezerra;Aircraft Avionics, Systems & Equipment (AVS);63.Fire protection systems;63.4;ACARE 2: Control systems - maintenance panels, cockpit display panels, visualisation of system status, audible alerts, design (zonal configuration, redundancy, reliability, systems research, analysis of operational incidents), BITE;0.249;Rejeitado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Sistemas de Energia Elétrica;Eduardo Augusto Bezerra;Human Factors (HFA);109.Human Factors Integration, Man-machine Interface;109.4;ACARE 3: Development of methods, tools and processes to support the integration of people with complex systems;0.247;Aprovado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Sistemas de Energia Elétrica;Eduardo Augusto Bezerra;Human Health, Life Support & Habitation;26.Human Health and Performance;26.7;NASA 1: System Transformative Health and Performance Concepts;0.235;Rejeitado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Sistemas de Energia Elétrica;Eduardo Augusto Bezerra;Software, Modeling, Simulation & Information Processing;48.Mission Architecture, System Analysis, and Concept Development;48.1;NASA 2: Tools and Methodologies for Defining Mission Architectures or Mission Design;0.229;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Energia;Sistemas de Energia Elétrica;Eduardo Augusto Bezerra;Software, Modeling, Simulation & Information Processing;49.Ground Computing;49.2;NASA 3: Automated Exascale Software Development Toolset;0.226;Em análise;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Comunicações e Processamento de Sinais;Eduardo Augusto Bezerra;Human Factors (HFA);109.Human Factors Integration, Man-machine Interface;109.4;ACARE 1: Development of methods, tools and processes to support the integration of people with complex systems;0.329;Aprovado;Original;;13/07/2025 15:34
Engenharia Elétrica – PPGEEL;Processamento de Informação;Comunicações e Processamento de Sinais;Eduardo Augusto Bezerra;Aerostructures (AST);13.Composite Materials & basic processes;13.4;ACARE 2: Elaboration processes.;0.306;Aprovado;Original;;13/07/2025 15:34
